Date,Close/Last,Volume,Open,High,Low
04/25/2016,208.61,65967270,208.26,208.66,207.54
04/22/2016,208.97,99214080,208.55,209.29,207.91
04/21/2016,208.97,85132680,210.12,210.25,208.65
04/20/2016,210.1,81035560,209.95,210.92,209.39
04/19/2016,209.9,87275610,209.74,210.2,208.94
04/18/2016,209.2392,82211220,207.14,209.28,207
04/15/2016,207.78,75684740,208.01,208.1721,207.4
04/14/2016,208.01,65046200,208.07,208.6,207.6
04/13/2016,208.0008,95684760,207,208.1,206.84
04/12/16,205.92,114890500,204.22,206.25,203.7
04/11/16,204.0201,82561530,205.25,206.07,203.91
04/08/16,204.4992,94933720,205.34,205.85,203.87
04/07/16,203.95,112324600,205.14,205.56,203.09
04/06/16,206.42,91660050,204.29,206.49,203.98
04/05/16,204.1892,98648990,204.67,206.2642,203.89
04/04/16,206.25,62656120,206.83,207.07,205.89
04/01/16,206.92,113272000,204.35,207.14,203.98
03/31/2016,205.52,94146900,205.91,206.41,205.33
03/30/2016,206.02,85684320,206.3,206.87,205.59
03/29/2016,205.1208,92553650,202.76,205.25,202.4
03/28/2016,203.24,61741680,203.61,203.86,202.705
03/24/2016,203.12,84028660,202,203.16,201.74
03/23/2016,203.2092,80899020,204.11,204.33,203.01
03/22/2016,204.56,96745330,203.76,205.23,203.57
03/21/2016,204.67,72727510,204.07,204.94,203.8
03/18/2016,204.38,135476400,204.17,204.78,203.8
03/17/2016,204.63,133787600,203.24,205.23,202.77
03/16/2016,203.34,128519100,201.6,203.82,201.55
03/15/2016,202.17,92992420,201.36,202.5307,201.05
03/14/2016,202.5,73478740,202.16,203.04,201.77
03/11/16,202.76,137871100,201.26,202.81,199.5179
03/10/16,199.54,156599200,199.96,201.07,197.38
03/09/16,199.38,94522340,199.36,199.79,198.43
03/08/16,198.4,123663900,199.32,199.92,198.21
03/07/16,200.59,99829000,199.34,201.07,199.25
03/04/16,200.43,128969300,200.01,201.35,199.03
03/03/16,199.775,94976900,198.79,199.795,198.11
03/02/16,199,102132500,197.74,199.06,197.25
03/01/16,198.11,141407600,195.01,198.21,194.4542
02/29/2016,193.56,125170000,195.11,196.23,193.33
02/26/2016,195.0892,129366900,196.57,196.68,194.9
02/25/2016,195.54,110203000,193.73,195.55,192.83
02/24/2016,193.2,150565000,190.63,193.53,189.32
02/23/2016,192.32,111231000,194,194.32,192.18
02/22/2016,194.78,103194800,193.87,194.95,193.79
02/19/2016,192,114694400,191.17,192.18,190.45
02/18/2016,192.09,102131000,193.2,193.27,191.72
02/17/2016,192.88,135300500,191.16,193.32,191.01
02/16/2016,189.78,119814000,188.77,189.81,187.63
02/12/16,186.63,127537400,184.96,186.65,183.96
02/11/16,182.86,218528800,182.34,184.1,181.09
02/10/16,185.27,147537200,186.41,188.34,185.12
02/09/16,185.43,183477200,183.36,186.94,183.2
02/08/16,185.42,190784300,185.77,186.12,182.8
02/05/16,187.95,180617400,190.99,191.6696,187.2
02/04/16,191.6,139293100,190.71,192.75,189.96
02/03/16,191.3,204711700,191.41,191.78,187.1
02/02/16,190.16,182289400,191.96,191.97,189.54
02/01/16,193.65,135772400,192.53,194.58,191.84
01/29/2016,193.7208,210246000,190.02,193.88,189.88
01/28/2016,189.11,143300400,189.96,190.2,187.16
01/27/2016,188.13,184964900,189.58,191.56,187.06
01/26/2016,190.2,139932200,188.42,190.53,188.02
01/25/2016,187.64,129310300,189.92,190.15,187.41
01/22/2016,190.52,168109300,189.78,190.76,188.88
01/21/2016,186.69,195002600,186.21,188.87,184.64
01/20/2016,185.65,285427700,185.03,187.495,181.02
01/19/2016,188.06,193451100,189.96,190.11,186.2
01/15/2016,187.81,323965200,186.77,188.76,185.52
01/14/2016,191.93,239613400,189.55,193.26,187.66
01/13/2016,188.83,220641200,194.45,194.86,188.38
01/12/16,193.6608,170946400,193.82,194.55,191.14
01/11/16,192.11,187405200,193.01,193.41,189.82
01/08/16,191.923,209524400,195.19,195.85,191.58
01/07/16,194.05,212565100,195.33,197.44,193.59
01/06/16,198.82,151636700,198.34,200.06,197.6
01/05/16,201.36,110381200,201.4,201.9,200.05
01/04/16,201.0192,221450500,200.49,201.03,198.59
12/31/2015,203.87,114819400,205.13,205.89,203.87
12/30/2015,205.93,63232390,207.11,207.21,205.76
12/29/2015,207.4,92411310,206.51,207.79,206.47
12/28/2015,205.21,65727270,204.86,205.26,203.94
12/24/2015,205.68,48542150,205.72,206.33,205.42
12/23/2015,206.02,110819800,204.69,206.07,204.58
12/22/2015,203.5,110436800,202.715,203.85,201.55
12/21/2015,201.67,98751110,201.41,201.88,200.09
